,flujo_codigo,flujo_nombre,periodo_anio,pais_codigo,pais_nombre,taric,euros,kilos,Codigo,Descripción
0,I,Importacion,2023,660,Afganistan,802,515889.73,117250.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
1,I,Importacion,2022,660,Afganistan,802,603337.78,117520.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
2,I,Importacion,2021,660,Afganistan,802,550245.28,128390.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
3,I,Importacion,2020,660,Afganistan,802,31028.56,970.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
4,I,Importacion,2019,660,Afganistan,802,188442.17,42184.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
5,I,Importacion,2019,70,Albania,802,1250.00,1000.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
6,I,Importacion,2023,4,Alemania,802,42789403.57,5692011.14,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
7,I,Importacion,2022,4,Alemania,802,46296526.38,6416423.35,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
8,I,Importacion,2021,4,Alemania,802,27886713.34,4240777.35,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
9,I,Importacion,2020,4,Alemania,802,29661825.65,4166529.76,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
10,I,Importacion,2019,4,Alemania,802,28452836.65,4044034.26,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
11,I,Importacion,2023,632,Arabia Saudi,802,64.60,2.73,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
12,I,Importacion,2020,632,Arabia Saudi,802,602.49,35.60,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
13,I,Importacion,2023,528,Argentina,802,1098931.57,574974.02,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
14,I,Importacion,2022,528,Argentina,802,1628075.77,427635.60,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
15,I,Importacion,2021,528,Argentina,802,2167255.64,759682.57,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
16,I,Importacion,2020,528,Argentina,802,1114068.85,349977.10,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
17,I,Importacion,2019,528,Argentina,802,156362.91,60320.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
18,I,Importacion,2023,800,Australia,802,32002984.19,10834503.96,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
19,I,Importacion,2022,800,Australia,802,24233055.98,7032119.60,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
20,I,Importacion,2021,800,Australia,802,11474244.77,3643688.20,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
21,I,Importacion,2020,800,Australia,802,13162088.44,3406641.90,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
22,I,Importacion,2019,800,Australia,802,17431655.67,4239349.59,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
23,I,Importacion,2023,38,Austria,802,315291.94,52918.50,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
24,I,Importacion,2022,38,Austria,802,242156.39,29668.38,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
25,I,Importacion,2021,38,Austria,802,299.92,4.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
26,I,Importacion,2020,38,Austria,802,36939.35,4870.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
27,I,Importacion,2019,38,Austria,802,183322.40,26729.95,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
28,I,Importacion,2023,78,Azerbaijan,802,3084024.03,431798.20,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
29,I,Importacion,2022,78,Azerbaijan,802,3752784.02,525440.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
30,I,Importacion,2021,78,Azerbaijan,802,689005.08,99002.90,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
31,I,Importacion,2020,78,Azerbaijan,802,3282995.14,414600.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
32,I,Importacion,2019,78,Azerbaijan,802,1038784.76,149934.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
33,I,Importacion,2023,17,Belgica,802,2315067.44,293184.04,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
34,I,Importacion,2022,17,Belgica,802,6860154.30,1500398.48,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
35,I,Importacion,2021,17,Belgica,802,17137602.52,4130331.20,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
36,I,Importacion,2020,17,Belgica,802,4410003.72,794878.32,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
37,I,Importacion,2019,17,Belgica,802,252758.04,83286.94,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
38,I,Importacion,2022,284,Benin,802,99.84,1.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
39,I,Importacion,2021,516,Bolivia,802,103.79,4.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
40,I,Importacion,2023,508,Brasil,802,403356.28,37251.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
41,I,Importacion,2022,508,Brasil,802,1748725.35,141667.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
42,I,Importacion,2021,508,Brasil,802,64125.07,11064.34,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
43,I,Importacion,2020,508,Brasil,802,72481.17,10974.15,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
44,I,Importacion,2019,508,Brasil,802,257267.19,18405.20,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
45,I,Importacion,2023,68,Bulgaria,802,114430.53,25256.12,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
46,I,Importacion,2022,68,Bulgaria,802,64667.43,9572.04,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
47,I,Importacion,2021,68,Bulgaria,802,690647.96,147598.80,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
48,I,Importacion,2019,68,Bulgaria,802,10693.09,4005.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
49,I,Importacion,2023,302,Camerun,802,126.68,4.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
50,I,Importacion,2019,302,Camerun,802,71848.00,23700.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
51,I,Importacion,2022,404,Canada,802,308633.63,79835.80,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
52,I,Importacion,2021,404,Canada,802,133.47,0.50,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
53,I,Importacion,2020,404,Canada,802,111251.01,19958.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
54,I,Importacion,2019,404,Canada,802,13047.62,1361.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
55,I,Importacion,2023,512,Chile,802,41581298.75,8517375.10,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
56,I,Importacion,2022,512,Chile,802,43936885.34,8080677.60,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
57,I,Importacion,2021,512,Chile,802,34054794.99,7174528.30,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
58,I,Importacion,2020,512,Chile,802,25426480.85,5642794.10,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
59,I,Importacion,2019,512,Chile,802,28701762.73,5836432.10,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
60,I,Importacion,2023,720,China,802,10737374.26,912332.36,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
61,I,Importacion,2022,720,China,802,19989918.88,1377247.34,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
62,I,Importacion,2021,720,China,802,12411349.36,957191.24,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
63,I,Importacion,2020,720,China,802,9405641.18,763988.88,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
64,I,Importacion,2019,720,China,802,10544651.98,694005.32,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
65,I,Importacion,2022,600,Chipre,802,109473.18,9055.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
66,I,Importacion,2020,600,Chipre,802,938.71,98.04,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
67,I,Importacion,2019,625,Cisjordania/Franja de Gaza,802,13060.00,1000.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
68,I,Importacion,2021,480,Colombia,802,1104.13,130.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
69,I,Importacion,2020,480,Colombia,802,88.00,0.20,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
70,I,Importacion,2023,728,Corea del Sur (Rep. de Corea),802,32802.28,15876.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
71,I,Importacion,2023,272,Costa de Marfil,802,376.86,2.97,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
72,I,Importacion,2022,272,Costa de Marfil,802,349.79,2.02,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
73,I,Importacion,2021,272,Costa de Marfil,802,133624.31,20697.82,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
74,I,Importacion,2019,272,Costa de Marfil,802,41405.03,18250.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
75,I,Importacion,2023,92,Croacia,802,38675.00,6500.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
76,I,Importacion,2021,92,Croacia,802,3601.76,789.26,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
77,I,Importacion,2020,92,Croacia,802,29332.80,3360.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
78,I,Importacion,2023,8,Dinamarca,802,3501.00,720.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
79,I,Importacion,2022,8,Dinamarca,802,2390.28,344.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
80,I,Importacion,2020,8,Dinamarca,802,125700.75,24011.40,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
81,I,Importacion,2019,8,Dinamarca,802,73921.00,10129.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
82,I,Importacion,2022,500,Ecuador,802,22706.14,4230.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
83,I,Importacion,2023,220,Egipto,802,1227.00,198.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
84,I,Importacion,2022,220,Egipto,802,1137.00,210.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
85,I,Importacion,2021,220,Egipto,802,4500.48,1680.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
86,I,Importacion,2019,220,Egipto,802,5071.20,450.22,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
87,I,Importacion,2023,647,Emiratos Arabes Unidos,802,114.91,0.09,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
88,I,Importacion,2022,647,Emiratos Arabes Unidos,802,762918.21,57692.50,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
89,I,Importacion,2021,647,Emiratos Arabes Unidos,802,21926.24,1729.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
90,I,Importacion,2020,647,Emiratos Arabes Unidos,802,58.83,3.60,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
91,I,Importacion,2022,63,Eslovaquia,802,102250.23,19958.40,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
92,I,Importacion,2023,91,Eslovenia,802,67.00,512.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
93,I,Importacion,2022,91,Eslovenia,802,53.88,1.80,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
94,I,Importacion,2021,91,Eslovenia,802,21785.66,6989.64,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
95,I,Importacion,2019,91,Eslovenia,802,7652.00,2685.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
96,I,Importacion,2023,400,Estados Unidos,802,467303425.69,111350539.94,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
97,I,Importacion,2022,400,Estados Unidos,802,611529196.47,127118300.90,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
98,I,Importacion,2021,400,Estados Unidos,802,528156853.17,126505354.99,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
99,I,Importacion,2020,400,Estados Unidos,802,639005437.07,118682708.28,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
100,I,Importacion,2019,400,Estados Unidos,802,657961732.63,118477595.26,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
101,I,Importacion,2020,53,Estonia,802,115785.14,19000.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
102,I,Importacion,2023,32,Finlandia,802,95655.07,18462.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
103,I,Importacion,2022,32,Finlandia,802,777.00,48.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
104,I,Importacion,2021,32,Finlandia,802,22712.50,2875.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
105,I,Importacion,2023,1,Francia,802,13195211.65,4308881.47,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
106,I,Importacion,2022,1,Francia,802,14829072.72,3877554.19,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
107,I,Importacion,2021,1,Francia,802,18214180.83,4657693.04,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
108,I,Importacion,2020,1,Francia,802,17742657.80,4768103.52,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
109,I,Importacion,2019,1,Francia,802,17904585.41,5304855.34,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
110,I,Importacion,2023,76,Georgia,802,5898143.53,1066052.55,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
111,I,Importacion,2022,76,Georgia,802,5073950.00,994553.29,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
112,I,Importacion,2021,76,Georgia,802,3925322.49,762020.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
113,I,Importacion,2020,76,Georgia,802,3502402.82,604500.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
114,I,Importacion,2019,76,Georgia,802,2176834.52,395050.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
115,I,Importacion,2023,276,Ghana,802,105.75,2.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
116,I,Importacion,2023,9,Grecia,802,143714.55,27915.94,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
117,I,Importacion,2022,9,Grecia,802,1011014.37,207597.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
118,I,Importacion,2021,9,Grecia,802,2297269.03,418070.28,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
119,I,Importacion,2020,9,Grecia,802,701768.09,144068.07,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
120,I,Importacion,2019,9,Grecia,802,1233825.11,176585.80,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
121,I,Importacion,2023,416,Guatemala,802,552714.50,75139.24,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
122,I,Importacion,2022,416,Guatemala,802,120859.01,24997.86,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
123,I,Importacion,2021,416,Guatemala,802,131292.99,8030.80,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
124,I,Importacion,2019,416,Guatemala,802,3556.53,499.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
125,I,Importacion,2019,740,Hong-Kong,802,28656.28,21900.50,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
126,I,Importacion,2023,64,Hungria,802,1047.20,112.00,802,"los demas frutos de cascara frescos o secos, incluso sin cascara o mondados "
